action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Active,559691,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccc(Br)cc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL115897,,CHEMBL115897,,0,http://www.openphacts.org/units/Nanomolar,223851,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,559694,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)/N=N/c1c(O)[nH]c2ccc([N+](=O)[O-])cc12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '20.19', 'le': '0.41', 'lle': '3.25', 'sei': '4.12'}",CHEMBL120254,,CHEMBL120254,5.36,0,http://www.openphacts.org/units/Nanomolar,223823,=,1,1,=,,IC50,nM,,4400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,4.4
,Not Active,565359,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccc(F)cc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL116040,5-FLUOROISATIN,CHEMBL116040,,0,http://www.openphacts.org/units/Nanomolar,223853,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,565362,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c2c(c1)C(=O)C(=O)N2,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL333636,,CHEMBL333636,,0,http://www.openphacts.org/units/Nanomolar,223830,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,565365,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(CN2C(=O)C(=O)c3cc(Cl)ccc32)c1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '14.78', 'le': '0.29', 'lle': '1.38', 'sei': '9.57'}",CHEMBL120076,,CHEMBL120076,4.46,0,http://www.openphacts.org/units/Nanomolar,223835,=,1,1,=,,IC50,nM,,34600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,34.6
,Not Active,566627,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccc(Cl)cc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL327012,,CHEMBL327012,,0,http://www.openphacts.org/units/Nanomolar,223850,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,569132,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '14.72', 'le': '0.31', 'lle': '0.79', 'sei': '12.05'}",CHEMBL333067,,CHEMBL333067,4.51,0,http://www.openphacts.org/units/Nanomolar,223836,=,1,1,=,,IC50,nM,,31200,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,31.2
,,570441,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c2[nH]c(O)c(/N=N/C(=N)S)c2c1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '19.65', 'le': '0.39', 'lle': '1.44', 'sei': '5.77'}",CHEMBL118210,,CHEMBL118210,4.88,0,http://www.openphacts.org/units/Nanomolar,223822,=,1,1,=,,IC50,nM,,13200,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,13.2
,,570444,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc32)c1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '16.56', 'le': '0.30', 'lle': '1.93', 'sei': '10.00'}",CHEMBL324722,,CHEMBL324722,4.66,0,http://www.openphacts.org/units/Nanomolar,223838,=,1,1,=,,IC50,nM,,21900,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,21.9
,,571726,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)/N=N/c1c(O)[nH]c2ccc(Cl)cc12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '17.61', 'le': '0.38', 'lle': '1.63', 'sei': '5.17'}",CHEMBL119213,,CHEMBL119213,4.48,0,http://www.openphacts.org/units/Nanomolar,223826,=,1,1,=,,IC50,nM,,32800,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,32.8
,,572945,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Cl)cc2c(/N=N/C(=N)S)c(O)[nH]c12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '18.71', 'le': '0.40', 'lle': '1.25', 'sei': '5.94'}",CHEMBL118355,,CHEMBL118355,5.03,0,http://www.openphacts.org/units/Nanomolar,223847,=,1,1,=,,IC50,nM,,9400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,9.4
,,572948,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '15.93', 'le': '0.31', 'lle': '1.26', 'sei': '11.58'}",CHEMBL336693,,CHEMBL336693,4.33,0,http://www.openphacts.org/units/Nanomolar,223834,=,1,1,=,,IC50,nM,,46900,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,46.9
,,575291,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)/N=N/c1c(O)[nH]c2ccc(Br)cc12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '15.14', 'le': '0.39', 'lle': '1.57', 'sei': '5.22'}",CHEMBL418861,,CHEMBL418861,4.53,0,http://www.openphacts.org/units/Nanomolar,223825,=,1,1,=,,IC50,nM,,29600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,29.6
,Not Active,575294,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,CN1C(=O)C(=O)c2ccccc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL60569,,CHEMBL60569,,0,http://www.openphacts.org/units/Nanomolar,223846,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,579000,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '22.75', 'le': '0.43', 'lle': '3.64', 'sei': '4.89'}",CHEMBL118305,5-NITROISATIN,CHEMBL118305,4.37,0,http://www.openphacts.org/units/Nanomolar,223848,=,1,1,=,,IC50,nM,,42600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,42.6
,Not Active,579003,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(C(=O)c2ccccc2)c2ccccc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL118830,,CHEMBL118830,,0,http://www.openphacts.org/units/Nanomolar,223842,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,579006,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '15.38', 'le': '0.28', 'lle': '0.65', 'sei': '13.47'}",CHEMBL117767,,CHEMBL117767,5.04,0,http://www.openphacts.org/units/Nanomolar,223837,=,1,1,=,,IC50,nM,,9200,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,9.2
,,582556,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)/N=N/c1c(O)[nH]c2ccccc12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '20.03', 'le': '0.40', 'lle': '2.21', 'sei': '5.08'}",CHEMBL333137,,CHEMBL333137,4.41,0,http://www.openphacts.org/units/Nanomolar,223829,=,1,1,=,,IC50,nM,,38800,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,38.8
,Not Active,583828,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccc(I)cc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL325480,5-IODOISATIN,CHEMBL325480,,0,http://www.openphacts.org/units/Nanomolar,223852,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Active,585153,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccc(OC(F)(F)F)cc2C1=O,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL116649,,CHEMBL116649,,0,http://www.openphacts.org/units/Nanomolar,223821,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,586332,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)/N=N/c1c(O)[nH]c2ccc(I)cc12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '13.12', 'le': '0.39', 'lle': '1.73', 'sei': '5.24'}",CHEMBL119370,,CHEMBL119370,4.54,0,http://www.openphacts.org/units/Nanomolar,223824,=,1,1,=,,IC50,nM,,28700,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,28.7
,Not Active,587595,[],CHEMBL682030,Inhibitory activity against Falcipain-2; no effect,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccc(Cl)cc1,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL117515,,CHEMBL117515,,0,http://www.openphacts.org/units/Nanomolar,223839,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,Not Determined,587598,[],CHEMBL877815,Inhibitory activity against Falcipain-2; not determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,,CHEMBL118596,,CHEMBL118596,,0,http://www.openphacts.org/units/Nanomolar,223832,,1,0,,,IC50,nM,,,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,
,,588927,[],CHEMBL682028,Inhibitory activity against Falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)/N=N/c1c(O)[nH]c2ccc(F)cc12,,,CHEMBL1145878,Bioorg Med Chem Lett,2003,"{'bei': '18.52', 'le': '0.38', 'lle': '2.07', 'sei': '5.09'}",CHEMBL119756,,CHEMBL119756,4.41,0,http://www.openphacts.org/units/Nanomolar,223827,=,1,1,=,,IC50,nM,,38600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,38.6
,,1143049,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,O=S1(=O)C2=C(O)CC(c3ccc(Cl)cc3)CC2=Nc2ccc(F)cc21,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL414179,,CHEMBL414179,5.3,0,http://www.openphacts.org/units/Nanomolar,169025,=,1,1,=,,IC50,nM,,5000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,5
,,1145596,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)cc1OC,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL90748,,CHEMBL90748,4.52,0,http://www.openphacts.org/units/Nanomolar,169014,=,1,1,=,,IC50,nM,,30000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,30
,,1145597,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,OC1=C2Sc3cc(Cl)ccc3N=C2CC(c2ccc(Cl)cc2Cl)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL93881,,CHEMBL93881,5,0,http://www.openphacts.org/units/Nanomolar,169022,=,1,1,=,,IC50,nM,,10000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,10
,,1147061,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1cccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)c1OC,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL420812,,CHEMBL420812,5,0,http://www.openphacts.org/units/Nanomolar,169035,=,1,1,=,,IC50,nM,,10000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,10
,,1149513,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,O=S1(=O)C2=C(O)CC(c3ccccc3)CC2=Nc2ccc(Cl)cc21,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL92805,,CHEMBL92805,5.4,0,http://www.openphacts.org/units/Nanomolar,169033,=,1,1,=,,IC50,nM,,4000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,4
,,1150737,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C2CC3=Nc4ccc(F)cc4SC3=C(O)C2)cc1OC,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL91233,,CHEMBL91233,4.7,0,http://www.openphacts.org/units/Nanomolar,169015,=,1,1,=,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1151925,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1cccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)c1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL329337,,CHEMBL329337,4.7,0,http://www.openphacts.org/units/Nanomolar,169010,=,1,1,=,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1153144,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,OC1=C2Sc3cc(Cl)ccc3N=C2CCC1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL89985,,CHEMBL89985,4.4,0,http://www.openphacts.org/units/Nanomolar,169009,=,1,1,=,,IC50,nM,,40000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,40
,,1153145,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,CC1(C)CC2=Nc3ccc(Cl)cc3SC2=C(O)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL92872,,CHEMBL92872,4.52,0,http://www.openphacts.org/units/Nanomolar,169011,=,1,1,=,,IC50,nM,,30000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,30
,,1158322,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,OC1=C2Sc3cc(Cl)ccc3N=C2CC(c2ccccc2)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL91234,,CHEMBL91234,5,0,http://www.openphacts.org/units/Nanomolar,169012,=,1,1,=,,IC50,nM,,10000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,10
,,1158323,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C2CC3=Nc4ccc(Cl)cc4S(=O)(=O)C3=C(O)C2)cc1OC,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL93694,,CHEMBL93694,4.3,0,http://www.openphacts.org/units/Nanomolar,169030,=,1,1,=,,IC50,nM,,50000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,50
,,1159757,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,CC1(C)CC2=Nc3ccc(F)cc3SC2=C(O)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL92683,,CHEMBL92683,4.22,0,http://www.openphacts.org/units/Nanomolar,169021,=,1,1,=,,IC50,nM,,60000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,60
,,1159758,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,CC1(C)CC2=Nc3ccc(Cl)cc3S(=O)(=O)C2=C(O)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL329629,,CHEMBL329629,5.3,0,http://www.openphacts.org/units/Nanomolar,169034,=,1,1,=,,IC50,nM,,5000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,5
,,1161050,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C2CC3=Nc4ccc(Cl)cc4S(=O)(=O)C3=C(O)C2)cc1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL328100,,CHEMBL328100,4.52,0,http://www.openphacts.org/units/Nanomolar,169032,=,1,1,=,,IC50,nM,,30000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,30
,,1162548,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,OC1=C2Sc3cc(F)ccc3N=C2CC(c2ccc(Cl)cc2)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL90245,,CHEMBL90245,5.3,0,http://www.openphacts.org/units/Nanomolar,169016,=,1,1,=,,IC50,nM,,5000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,5
,,1163881,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1cccc(C2CC3=Nc4ccc(F)cc4SC3=C(O)C2)c1OC,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL92995,,CHEMBL92995,4.7,0,http://www.openphacts.org/units/Nanomolar,169018,=,1,1,=,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1166630,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(C2CC3=Nc4ccc(Cl)cc4SC3=C(O)C2)cc1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL433390,,CHEMBL433390,5,0,http://www.openphacts.org/units/Nanomolar,169013,=,1,1,=,,IC50,nM,,10000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,10
,,1166631,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,OC1=C2Sc3cc(F)ccc3N=C2CC(c2ccc(Cl)cc2Cl)C1,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL92738,,CHEMBL92738,5,0,http://www.openphacts.org/units/Nanomolar,169017,=,1,1,=,,IC50,nM,,10000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,10
,,1166632,[],CHEMBL682027,Inhibition of falcipain activity,F,,,BAO_0000190,BAO_0000019,assay format,O=S1(=O)C2=C(O)CC(c3ccc(Cl)cc3Cl)CC2=Nc2ccc(Cl)cc21,,,CHEMBL1130327,J Med Chem,1997,,CHEMBL93846,,CHEMBL93846,4.52,0,http://www.openphacts.org/units/Nanomolar,169028,=,1,1,=,,IC50,nM,,30000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,30
